"","V1","V2","V3","V4"
"49",249.706388979756,20.1530520961459,255.962956127307,232.368904749001
"50",248.017044933932,19.9356044065575,254.616706934306,231.221135924783
"51",246.597688404155,19.748502121469,253.526152060299,230.217557064232
"52",245.563191078024,19.598657313484,252.772549186383,229.534794783765
"53",244.806468053743,19.475311355483,252.274978274424,229.086299250165
"54",243.994438745599,19.3506342219764,251.752801531117,228.549352839147
"55",243.089241318159,19.2214748446322,251.189748081429,227.905192452911
"56",242.029385382606,19.0835664751666,250.479430277977,227.144523451403
"57",241.001669478743,18.9523447632355,249.750939171471,226.476887782337
"58",239.874126425671,18.8177874311346,248.841258340573,225.760899629743
"59",238.598779127631,18.6761755987946,247.724303510868,224.894782021494
"60",237.135767622224,18.5242070800375,246.396431606683,223.792275464418
"61",235.69805350494,18.3781579348253,245.093070049949,222.645558596675
"62",234.543556462435,18.2575363321264,244.07199416236,221.720757579852
"63",233.663538233251,18.1608917255916,243.31508892126,221.033118288042
"64",232.832991788686,18.0700410574948,242.597687806586,220.377492408329
"65",231.87252678727,17.9706663293911,241.751649167648,219.583991764159
"66",230.695735355724,17.8560269467715,240.693165273416,218.577957999953
"67",229.319614712725,17.7276211583719,239.426125192458,217.390806039978
"68",227.890178141714,17.5969324889512,238.082756174564,216.170857930391
"69",226.545049890884,17.4746487473473,236.798505299683,215.04240889797
"70",225.257418733569,17.3586292314285,235.55274627864,213.961957245594
"71",224.047767545373,17.2503127909517,234.379029068219,212.93342356852
"72",222.862440846653,17.1453906437829,233.226607799252,211.902644384797
"73",221.790225387593,17.0504816804984,232.186272631837,210.960812700465
"74",220.914962780814,16.9717803438978,231.343806533102,210.195500214829
"75",220.144053720779,16.9019374944455,230.6055563794,209.522155840265
"76",219.329879374439,16.8294746029316,229.822644538553,208.801481792059
"77",218.298250285821,16.7409971040626,228.814312448691,207.870627681286
"78",217.010547665436,16.6335948489327,227.535642670242,206.697706629641
"79",215.443617544588,16.5055552933019,225.955955882815,205.263461945312
"80",213.914032937487,16.3811510636822,224.404553160813,203.867177236772
"81",212.537470080418,16.269197372941,223.005105696212,202.613298785028
"82",211.290086057358,16.1677991778701,221.736529164134,201.474188607604
"83",210.150420380891,16.0752370877661,220.578296330061,200.428328989727
"84",209.168271465325,15.9952355293262,219.582437233471,199.525358294445
"85",208.261333334823,15.9214112604967,218.662244084077,198.689401086021
"86",207.53604838334,15.8618225884022,217.930617531264,198.023466805324
